"name","lon","lat","inn","tavern","bar","region"
"The Red Lion",-0.4498307,52.0815359,FALSE,FALSE,FALSE,"England"
"Red Lion",0.2952122,52.25186,FALSE,FALSE,FALSE,"England"
"The Red Lion",-1.3159753,52.1165787,FALSE,FALSE,FALSE,"England"
"The Red Lion",-1.3440568,53.5023877,FALSE,FALSE,FALSE,"England"
"Red Lion",0.1821939,52.0839352,FALSE,FALSE,FALSE,"England"
"Red Lion",0.1663215,52.1039045,FALSE,FALSE,FALSE,"England"
"Old Red Lion",0.3483315,52.0996874,FALSE,FALSE,FALSE,"England"
"Red Lion",0.087955,52.5495149,FALSE,FALSE,FALSE,"England"
"Red Lion",-1.9243115,52.6013405,FALSE,FALSE,FALSE,"England"
"Red Lion Inn",-1.7563577,53.2736415,TRUE,FALSE,FALSE,"England"
"Red Lion",-0.9052507,52.4922943,FALSE,FALSE,FALSE,"England"
"Old Red Lion",-0.8714942,52.5258363,FALSE,FALSE,FALSE,"England"
"Red Lion",0.2189709,52.3484741,FALSE,FALSE,FALSE,"England"
"The Red Lion",-0.8008531,52.9419977,FALSE,FALSE,FALSE,"England"
"Red Lion",-1.4371355,53.4601987,FALSE,FALSE,FALSE,"England"
"Red Lion",0.2491822,53.159575,FALSE,FALSE,FALSE,"England"
"The Red Lion",-1.1614282,52.4872526,FALSE,FALSE,FALSE,"England"
"The Red Lion Hotel",-0.1148179,53.2089985,FALSE,FALSE,FALSE,"England"
"Red Lion",-1.7255337,52.7651006,FALSE,FALSE,FALSE,"England"
"Red Lion",-1.2191528,52.3585548,FALSE,FALSE,FALSE,"England"
"The Red Lion",-1.3911711,52.0913485,FALSE,FALSE,FALSE,"England"
"Red Lion",-1.6434938,52.8237341,FALSE,FALSE,FALSE,"England"
"Red Lion Inn",-1.4670085,53.0725681,TRUE,FALSE,FALSE,"England"
"The Red Lion",-1.5506372,52.8393207,FALSE,FALSE,FALSE,"England"
"Red Lion",-0.7148741,52.0006568,FALSE,FALSE,FALSE,"England"
"The Red Lion",-1.3566484,53.4316752,FALSE,FALSE,FALSE,"England"
"Red Lion",-0.7751879,52.2143353,FALSE,FALSE,FALSE,"England"
"The Red Lion",-1.6750055,53.2132022,FALSE,FALSE,FALSE,"England"
"Red Lion",-1.5489495,53.1351548,FALSE,FALSE,FALSE,"England"
"The Red Lion",-0.5539882,52.1687494,FALSE,FALSE,FALSE,"England"
"The Red Lion",-0.3406395,53.387935,FALSE,FALSE,FALSE,"England"
"The Red Lion",-1.2427729,52.2181729,FALSE,FALSE,FALSE,"England"
"Red Lion Inn",-1.692469,53.0486313,TRUE,FALSE,FALSE,"England"
"The Red Lion",-1.7534923,53.5637472,FALSE,FALSE,FALSE,"England"
"Red Lion",0.338478,52.3318315,FALSE,FALSE,FALSE,"England"
"The Red Lion",-1.2395891,52.5718951,FALSE,FALSE,FALSE,"England"
"The Red Lion",-0.9653372,53.0362119,FALSE,FALSE,FALSE,"England"
"The Red Lion",-1.0687007,51.9889605,FALSE,FALSE,FALSE,"England"
"Red Lion",-1.0166067,52.3749257,FALSE,FALSE,FALSE,"England"
"The Red Lion",-0.8009691,52.4228328,FALSE,FALSE,FALSE,"England"
"The Red Lion",-1.0181994,52.3075321,FALSE,FALSE,FALSE,"England"
"The Red Lion",-1.5452868,52.5988125,FALSE,FALSE,FALSE,"England"
"The Red Lion",-0.0577847,53.1352825,FALSE,FALSE,FALSE,"England"
"Red Lion",-0.6023153,53.0253532,FALSE,FALSE,FALSE,"England"
"Red Lion",-1.5945233,52.7472002,FALSE,FALSE,FALSE,"England"
"The Red Lion",-0.2593889,52.0869363,FALSE,FALSE,FALSE,"England"
"Red Lion Inn",-1.6514047,53.0524398,TRUE,FALSE,FALSE,"England"
"Red Lion",-1.8763339,52.7194796,FALSE,FALSE,FALSE,"England"
"Red Lion",-1.3968108,53.2570704,FALSE,FALSE,FALSE,"England"
"The Red Lion",-2.0298076,52.981394,FALSE,FALSE,FALSE,"England"
"The Red Lion",-1.9602041,52.9380223,FALSE,FALSE,FALSE,"England"
"Red Lion",-1.1455723,52.0077827,FALSE,FALSE,FALSE,"England"
"The Red Lion",-1.4160126,53.1667896,FALSE,FALSE,FALSE,"England"
"The Red Lion",-1.0046548,52.2319661,FALSE,FALSE,FALSE,"England"
"Red Lion",-1.0031381,52.4379235,FALSE,FALSE,FALSE,"England"
"Red Lion",-0.8003519,52.2212786,FALSE,FALSE,FALSE,"England"
"The Red Lion",0.2688868,53.2454059,FALSE,FALSE,FALSE,"England"
"Red Lion",-0.5371238,53.4864186,FALSE,FALSE,FALSE,"England"
"The Red Lion",-1.2906204,52.7735995,FALSE,FALSE,FALSE,"England"
"Red Lion",-1.2284319,53.478949,FALSE,FALSE,FALSE,"England"
"The Red Lion",-0.1712957,53.2513247,FALSE,FALSE,FALSE,"England"
"Red Lion",0.0528955,53.1836696,FALSE,FALSE,FALSE,"England"
"The Red Lion",-0.5467093,52.3384202,FALSE,FALSE,FALSE,"England"
"The Red Lion",-0.7761911,52.3730958,FALSE,FALSE,FALSE,"England"
"Red Lion",-0.642432,52.3822336,FALSE,FALSE,FALSE,"England"
"Red Lion",-1.6150387,52.6197097,FALSE,FALSE,FALSE,"England"
"The Old Red Lion",-1.0762703,52.1834042,FALSE,FALSE,FALSE,"England"
"The Red Lion",-0.7348305,52.2016521,FALSE,FALSE,FALSE,"England"
"The Red Lion",-1.209915,52.119069,FALSE,FALSE,FALSE,"England"
"The Red Lion",-1.1804241,52.3365093,FALSE,FALSE,FALSE,"England"
"The Red Lion Inn",0.0183453,53.1197768,TRUE,FALSE,FALSE,"England"
"Red Lion",-1.1324407,53.5238605,FALSE,FALSE,FALSE,"England"
"Red Lion",-1.981163,53.1226177,FALSE,FALSE,FALSE,"England"
"Red Lion",-0.1513837,52.7872518,FALSE,FALSE,FALSE,"England"
"Red Lion",0.0973538,53.1734455,FALSE,FALSE,FALSE,"England"
"The Red Lion",-0.5643062,51.8375082,FALSE,FALSE,FALSE,"England"
"The Red Lion",-0.6547651,51.6225468,FALSE,FALSE,FALSE,"England"
"Red Lion",0.88761,52.5408393,FALSE,FALSE,FALSE,"England"
"The Red Lion",0.4163959,51.6243917,FALSE,FALSE,FALSE,"England"
"The Red Lion",-0.3050181,51.5080196,FALSE,FALSE,FALSE,"England"
"The Red Lion",0.0084889,51.7888637,FALSE,FALSE,FALSE,"England"
"The Red Lion",-0.3338701,51.4735028,FALSE,FALSE,FALSE,"England"
"Red Lion",-0.2856028,51.9084471,FALSE,FALSE,FALSE,"England"
"Red Lion",-0.0801935,51.5280804,FALSE,FALSE,FALSE,"England"
"The Red Lion",0.4710993,52.0690344,FALSE,FALSE,FALSE,"England"
"The Red Lion",-0.0449565,51.6634739,FALSE,FALSE,FALSE,"England"
"Red Lion",-0.6130007,51.7031919,FALSE,FALSE,FALSE,"England"
"The Red Lion",-0.4356134,51.4876555,FALSE,FALSE,FALSE,"England"
"The Red Lion",-0.6838832,51.5880623,FALSE,FALSE,FALSE,"England"
"Red Lion",-0.5173354,51.8315782,FALSE,FALSE,FALSE,"England"
"The Red Lion",-0.5254492,51.6728172,FALSE,FALSE,FALSE,"England"
"Red Lion",0.376335,52.168385,FALSE,FALSE,FALSE,"England"
"Old Red Lion",-0.105118,51.4894122,FALSE,FALSE,FALSE,"England"
"Red Lion",0.463925,52.215181,FALSE,FALSE,FALSE,"England"
"The Red Lion",-0.1702355,51.954688,FALSE,FALSE,FALSE,"England"
"The Red Lion",-0.6904143,51.6348242,FALSE,FALSE,FALSE,"England"
"The Red Lion",-0.0936255,51.484547,FALSE,FALSE,FALSE,"England"
"The Red Lion",-0.1376491,51.5056404,FALSE,FALSE,FALSE,"England"
"Red Lion",1.1292675,52.0663748,FALSE,FALSE,FALSE,"England"
"The Red Lion",0.4476758,52.0426871,FALSE,FALSE,FALSE,"England"
"The Red Lion",-0.2259118,51.8126386,FALSE,FALSE,FALSE,"England"
"The Red Lion",-0.5805284,51.5313294,FALSE,FALSE,FALSE,"England"
"The Red Lion",0.6341506,51.9412962,FALSE,FALSE,FALSE,"England"
"Red Lion",-0.329721,51.8850211,FALSE,FALSE,FALSE,"England"
"Red Lion",-0.6311637,51.6467398,FALSE,FALSE,FALSE,"England"
"The Red Lion",-0.554182,51.5055572,FALSE,FALSE,FALSE,"England"
"Red Lion",-0.1759601,51.8910895,FALSE,FALSE,FALSE,"England"
"The Red Lion",-0.2146966,51.7666957,FALSE,FALSE,FALSE,"England"
"The Red Lion",-0.1364346,51.5083234,FALSE,FALSE,FALSE,"England"
"The Red Lion",-0.4614289,51.5348227,FALSE,FALSE,FALSE,"England"
"Red Lion",-0.5277022,51.4844124,FALSE,FALSE,FALSE,"England"
